list_name,label,name,districts,upazila,union_name,village,pra
district_list,Natore,69
district_list,Bogra,10
district_list,Pabna,76
district_list,Sirajganj,88
upazila_list,Royganj,8861,88
upazila_list,Kamarkhanda,8844,88
upazila_list,Tarash,8889,88
upazila_list,Pabna Sadar,7655,76
upazila_list,Lalpur,6944,69
upazila_list,Adamdighi,1006,10
union_name_list,Dhamainagar Union,886128,88,8861
union_name_list,Dapunia Union,765534,76,7655
union_name_list,Ward No-01,881101,88,8811
union_name_list,Deshigram Union,888921,88,8889
union_name_list,Talam Union,888973,88,8889
union_name_list,Tarash Union,888984,88,8889
union_name_list,Char Tarapur Union,765525,76,7655
union_name_list,Ward No-05,881105,88,8811
union_name_list,Chhatiangram Union,100640,10,1006
union_name_list,Ward No-08,881108,88,8811
union_name_list,Baruhas Union,888910,88,8889
union_name_list,Saguna Union,888963,88,8889
union_name_list,Ghurka Union,886157,88,8861
union_name_list,Hemayetpur Union,765560,76,7655
union_name_list,Pangashi Union,886176,88,8861
union_name_list,Ward No-13,765513,76,7655
union_name_list,Naogaon Union,888952,88,8889
union_name_list,Nalka Union,886166,88,8861
union_name_list,Champapur Union,100627,10,1006
union_name_list,Jamtail Union,884438,88,8844
union_name_list,Bhadraghat Union,884419,88,8844
union_name_list,Lalpur Union,694485,69,6944
union_name_list,Jhawail Union,884457,88,8844
union_name_list,Sadullahpur Union,765594,76,7655
union_name_list,Brahmagachha Union,886113,88,8861
union_name_list,Roy Daulatpur Union,884476,88,8844
union_name_list,Bilmaria Union,694419,69,6944
union_name_list,Ward No-11,765511,76,7655
union_name_list,Kundagram Union,100654,10,1006
union_name_list,Malanchi Union,765569,76,7655
union_name_list,Ward No-04,881104,88,8811
union_name_list,Ward No-07,881107,88,8811
union_name_list,Bharara Union,765517,76,7655
union_name_list,Ward No-03,881103,88,8811
union_name_list,Gayeshpur Union,765551,76,7655
union_name_list,Ward No-09,881109,88,8811
union_name_list,Dhangara Union,886138,88,8861
union_name_list,Ataikola Union,765516,76,7655
union_name_list,Sonakhara Union,886185,88,8861
union_name_list,Ward No-02,881102,88,8811
union_name_list,Ward No-10,765510,76,7655
union_name_list,Chandaikona Union,886119,88,8861
union_name_list,Madhainagar Union,888931,88,8889
union_name_list,Ward No-15,765515,76,7655
union_name_list,Arbab Union,694417,69,6944
union_name_list,Ward No-06,881106,88,8811
union_name_list,Ward No-12,765512,76,7655
union_name_list,Maligachha Union,765577,76,7655
union_name_list,Magura Binod Union,888942,88,8889
union_name_list,Dogachhi Union,765543,76,7655
union_name_list,Dhubil Union,886147,88,8861
union_name_list,Ward No-14,765514,76,7655
pra_list,Natunpara,8889100202,88,8889,888910,88891002
pra_list,Kazipara,7655340201,76,7655,765534,76553402
pra_list,Madhyampara,8889100101,88,8889,888910,88891001
pra_list,Sarkar bari,6944850101,69,6944,694485,69448501
pra_list,Matborbari,7655340301,76,7655,765534,76553403
pra_list,Gajibaari,6944850201,69,6944,694485,69448502
pra_list,Sarkar para,7655340101,76,7655,765534,76553401
pra_list,Majhipara,8889100201,88,8889,888910,88891002
village_list,Shokhipur,69448502,69,6944,694485
village_list,Rasulpur,88891001,88,8889,888910
village_list,Adampur,69448501,69,6944,694485
village_list,Kalmegha,76553403,76,7655,765534
village_list,Suhilpur,76553401,76,7655,765534
village_list,Ruhitpur,76553402,76,7655,765534
village_list,Ahmedpur,88891002,88,8889,888910
